1分钟, 5633
2分钟, 2704
3分钟, 2824
4分钟, 5849
5分钟, 13007
6分钟, 20234
7分钟, 28992
8分钟, 38762
9分钟, 47513
10分钟, 54695
11分钟, 61554
12分钟, 66744
13分钟, 72508
14分钟, 77320
15分钟, 81132
16分钟, 84589
17分钟, 85961
18分钟, 88422
19分钟, 91473
20分钟, 95445
21分钟, 100477
22分钟, 103833
23分钟, 107146
24分钟, 107766
25分钟, 109640
26分钟, 108138
27分钟, 108632
28分钟, 108105
29分钟, 109311
30分钟, 109496
31分钟, 110179
32分钟, 109758
33分钟, 109072
34分钟, 109050
35分钟, 108396
36分钟, 107306
37分钟, 105277
38分钟, 103335
39分钟, 101085
40分钟, 98259
41分钟, 96541
42分钟, 93283
43分钟, 90528
44分钟, 88180
45分钟, 85159
46分钟, 82660
47分钟, 80032
48分钟, 77174
49分钟, 74934
50分钟, 71628
51分钟, 68777
52分钟, 66126
53分钟, 63298
54分钟, 60866
55分钟, 57945
56分钟, 54801
57分钟, 52325
58分钟, 49693
59分钟, 46922
60分钟, 44474
61分钟, 42457
62分钟, 39963
63分钟, 38173
64分钟, 36457
65分钟, 34129
66分钟, 32303
67分钟, 30474
68分钟, 28814
69分钟, 27319
70分钟, 25914
71分钟, 24598
72分钟, 23048
73分钟, 21998
74分钟, 20579
75分钟, 19556
76分钟, 18234
77分钟, 17272
78分钟, 16112
79分钟, 15300
80分钟, 14376
81分钟, 13446
82分钟, 12546
83分钟, 11728
84分钟, 10906
85分钟, 10550
86分钟, 9788
87分钟, 8902
88分钟, 8618
89分钟, 8012
90分钟, 7407
91分钟, 6828
